class,rel01,rel02,rel03,rel04,rel05,rel06,rel07,rel08,rel09,rel10,rel11,rel12,rel13
1,3,1,1,1,3,3,0,0,3,3,0,0,0
2,1,3,0,1,1,1,0,0,0,0,0,0,0
3,3,0,3,0,0,3,0,0,3,0,0,3,0
4,3,1,1,1,0,3,0,2,0,0,0,0,0
5,3,0,1,1,0,0,0,0,3,0,0,0,3
6,3,1,1,1,3,3,1,1,0,0,0,0,0
7,0,0,1,1,1,0,1,1,0,0,0,1,0
