LC_num,AIC,BIC
2,133893.47092659862,134246.12337541286
3,131735.57171056012,132267.87729367596
4,130913.34814708194,131625.30686449938
5,130539.77836222303,131431.39021394207
6,130172.35702300542,131243.62200902606
7,129965.82713410554,131216.74525442778
8,129803.91660050928,131234.4878551331
9,129636.36624125062,131246.59063017607
10,129518.92005100608,131308.79757423312
11,129423.48518966384,131393.01584719247
12,129350.87879404365,131500.06258587388
13,129289.38292491731,131618.21985104916
