ID,sex,age,max_rating,current_rating,hours_in_game,games_week,pas01,pas02,pas03,pas04,pas05,pas06,pas07,pas08,pas09,rel01,rel02,rel03,rel04,rel05,rel06,rel07,rel08,rel09,rel10,rel11,rel12,rel13,heroes_3,age_group,pas_total
34,М,13,0,0,220,20-30 игр (каждый день по несколько игр),3,5,4,2,5,2,1,5,1,3,3,1,1,5,3,1,1,3,2,4,2,4,"Тини, 46 игр, 69%
Monkey King, 24 игры, 66%
Тролль, 12 игр, 100%",17 лет или младше,28
35,М,31,2800,2100,6500,6-10 игр (пару дней в неделю стабильно-дота),3,3,2,5,3,4,4,4,3,5,1,4,1,5,5,3,2,3,3,4,2,3,"Underlord, 149 игр, 55.03%
Wraith King, 145 игр, 57.24%
Necrophos, 113 игр, 59.29%",30-39 лет,31
37,М,18,2000,1600,2500,6-10 игр (пару дней в неделю стабильно-дота),3,1,1,5,1,2,3,4,4,5,2,1,1,4,4,2,3,3,5,1,1,4,"Инвокер: 285 игр, 53%, Тинкер 116 игр, 57%, Морф 86 игр 60%",18-20 лет,24
39,Ж,23,4200,3900,700,11-20 игр (почти каждый день по несколько игр),1,1,2,3,2,1,2,3,4,3,5,1,1,1,3,4,5,5,1,5,2,5,"Цм 150 игр 63%, Бейн 120 игр 58%, раста 80 игр 52%.",21-29 лет,19
40,М,23,1500,1400,3500,1-5 игр (по выходным чисто пару каток),5,1,1,3,1,1,3,4,5,3,5,2,2,1,1,5,2,2,3,5,5,1,"течис 225 игр 70%, земеля 115 игр 48%, миппо 100 игр 15%",21-29 лет,24
41,М,18,3000,2400,800,6-10 игр (пару дней в неделю стабильно-дота),1,2,2,3,1,2,1,3,1,5,2,1,2,3,2,2,3,5,3,2,1,3,"Джагернаут, 67 игр, 47%. Рубкик 42 игры, 52.5%. Лайфстилер 34 игры, 70%.",18-20 лет,16
42,М,25,2150,1100,4300,11-20 игр (почти каждый день по несколько игр),3,4,2,5,2,4,2,5,4,5,2,2,2,5,5,3,2,3,4,5,3,4,"Венга 183 игры, 58%. ВК 106 игр, 57%. Андерлорд 77 игр, 68%.",21-29 лет,31
43,М,22,310,10,300,11-20 игр (почти каждый день по несколько игр),1,5,5,5,1,5,1,1,1,5,5,1,1,1,5,3,2,4,5,5,5,5,"Шторм 69 игр 49 % ,феникс 40 игр 62 %",21-29 лет,25
44,М,26,4300,3400,3000,Больше 30 игр (по много пабликов каждый день),2,4,5,5,2,2,5,5,5,4,2,1,1,5,5,1,1,3,4,1,4,1,"Панго, около 600 с разных акков, 57%, войд спирит, 300 игр,  50%, такс, 150 игр, 50%",21-29 лет,35
45,М,25,1800,650,1200,6-10 игр (пару дней в неделю стабильно-дота),3,1,1,4,2,1,1,2,1,4,4,2,2,1,3,4,4,3,3,2,5,4,"Necrophos, 58, 62%
Witch Doctor, 53, 58%
Omniknight, 47, 78%",21-29 лет,16
48,М,17,1000,800,869,20-30 игр (каждый день по несколько игр),3,4,2,3,2,1,5,4,4,3,2,2,1,4,3,1,1,2,2,5,3,1,"Шторм,125 игр 49,6%, Зевс 37 игр 75,68%",17 лет или младше,28
